year,country,city,ranking,value
2020,China,Hotan,1,110.2
2020,India,Ghaziabad,2,106.6
2020,India,Bulandshahr,3,98.4
2020,India,"Bisrakh, Jabalpur",4,96
2020,India,Bhiwadi,5,95.5
2020,India,Noida,6,94.3
2020,India,Greater Noida,7,89.5
2020,India,Kanpur,8,89.1
2020,India,Lucknow,9,86.2
2020,India,Delhi,10,84.1
2020,India,Faridabad,11,83.3
2020,India,Meerut,12,82.3
2020,India,Jind,13,81.6
2020,India,Hisar,14,81.1
2020,China,Kashgar,15,81
